model_date,model_clump,data_date,data_clump,mse,mse_stdv,mse_conf,mae,mae_stdv,mae_conf,r2,r2_stdv,r2_conf
2018-05-14 10:00:00,0.75,2018-05-14 10:00:00,0.75,0.017440111266984644,0.00017716782724503625,0.9999999989831168,0.0869953297210419,0.0006137162809334752,0.9999999989831168,0.991714483940316,8.416958214463877e-05,0.9999999989831168
2018-05-14 10:00:00,0.75,2018-05-15 19:00:00,0.75,0.7413079227925004,0.007181465659827109,0.13188519223848044,0.765736901558759,0.003512979987117354,0.13188519223848044,0.7708193451061782,0.0026398269038468017,0.13188519223848044
2018-05-14 10:00:00,0.75,2018-05-17 00:00:00,0.75,0.32468489298819747,0.0029102603161710607,0.3626685722057412,0.38508818072403145,0.0021047550422833477,0.3626685722057412,0.8508400697234132,0.001405636378215576,0.3626685722057412
2018-05-14 10:00:00,0.75,2018-05-19 04:00:00,0.75,0.7701938316344592,0.08326588504557202,0.01311103718821614,0.8441045079345317,0.027837448428054634,0.01311103718821614,-21.275334820336248,23.329146344012877,0.01311103718821614
2018-05-14 10:00:00,0.75,2018-05-21 15:00:00,0.75,0.05408227976984777,0.004409616953609783,0.013471202860439934,0.18534488706886648,0.00729056047915537,0.013471202860439934,-26.018468435420736,6.738229075939884,0.013471202860439934
2018-05-14 10:00:00,0.75,2018-05-23 13:00:00,0.75,0.7892618716531246,0.04011901728545816,0.013994873438758635,0.800353413510879,0.021902725319329134,0.013994873438758635,0.3010559512797998,0.06581702485649744,0.013994873438758635
2018-05-15 19:00:00,0.75,2018-05-14 10:00:00,0.75,0.6182743631276816,0.0022966481546212647,0.5789730662553899,0.6738883472295277,0.0016020920651803206,0.5789730662553899,0.6309330634439553,0.0015305408461884441,0.5789730662553899
2018-05-15 19:00:00,0.75,2018-05-15 19:00:00,0.75,0.01836476640349973,0.00016658611473419592,1.0,0.09666895906947366,0.0003956638208070867,1.0,0.9929749079916249,6.372434898504693e-05,1.0
2018-05-15 19:00:00,0.75,2018-05-17 00:00:00,0.75,0.34705241811310533,0.0011724586181162198,0.8720802076228708,0.5000134436956777,0.0006481424525200309,0.8720802076228708,0.8233616855503074,0.0006054066196830845,0.8720802076228708
2018-05-15 19:00:00,0.75,2018-05-19 04:00:00,0.75,0.11799474740500908,0.014035221970773466,0.10210294348647417,0.2754862012469328,0.0046710616497935824,0.10210294348647417,0.5406636521014733,0.05636549137401662,0.10210294348647417
2018-05-15 19:00:00,0.75,2018-05-21 15:00:00,0.75,1.128738118211122,0.01416807473019128,0.05635903458372339,0.8751282501328841,0.006000735308983145,0.05635903458372339,-1.368283040241305,0.053547671142025834,0.05635903458372339
2018-05-15 19:00:00,0.75,2018-05-23 13:00:00,0.75,0.7986597205122827,0.0032061009801463646,0.22538166763676434,0.7264219523643733,0.001616254649608075,0.22538166763676434,0.29015801850640305,0.0038260366465450607,0.22538166763676434
2018-05-17 00:00:00,0.75,2018-05-14 10:00:00,0.75,0.1938868724650868,0.00625319393291296,0.0689156137202997,0.3472228262123572,0.004933105396013622,0.0689156137202997,0.703761042073145,0.011234771566365032,0.0689156137202997
2018-05-17 00:00:00,0.75,2018-05-15 19:00:00,0.75,0.3355846027481801,0.005970024215631034,0.116373703118773,0.522981745136821,0.004052621993440731,0.116373703118773,0.8908487275711099,0.0015226490908980298,0.116373703118773
2018-05-17 00:00:00,0.75,2018-05-17 00:00:00,0.75,0.02179343661538701,0.0002060392511842073,0.9952434342370258,0.09751377156560843,0.00037783791775727004,0.9952434342370258,0.9880050605056624,0.00011374368420483084,0.9952434342370258
2018-05-17 00:00:00,0.75,2018-05-19 04:00:00,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-05-17 00:00:00,0.75,2018-05-21 15:00:00,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-05-17 00:00:00,0.75,2018-05-23 13:00:00,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-05-19 04:00:00,0.75,2018-05-14 10:00:00,0.75,0.0,0.0,5.797127292292885e-289,0.0,0.0,5.797127292292885e-289,1.0,0.0,5.797127292292885e-289
2018-05-19 04:00:00,0.75,2018-05-15 19:00:00,0.75,0.0,0.0,2.6275382493089226e-148,0.0,0.0,2.6275382493089226e-148,1.0,0.0,2.6275382493089226e-148
2018-05-19 04:00:00,0.75,2018-05-17 00:00:00,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-05-19 04:00:00,0.75,2018-05-19 04:00:00,0.75,0.007589331272989938,8.2460397052825e-05,0.9942159264119123,0.062478348492372306,0.0002517025718513257,0.9942159264119123,0.9937174493783785,6.76380433806665e-05,0.9942159264119123
2018-05-19 04:00:00,0.75,2018-05-21 15:00:00,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-05-19 04:00:00,0.75,2018-05-23 13:00:00,0.75,0.0,0.0,1.228148524930202e-158,0.0,0.0,1.228148524930202e-158,1.0,0.0,1.228148524930202e-158
2018-05-21 15:00:00,0.75,2018-05-14 10:00:00,0.75,0.4882665175141671,0.0056075912250659965,0.46630840331730367,0.5736513273703722,0.0026523748638705943,0.46630840331730367,0.5441554196945276,0.00549624633850262,0.46630840331730367
2018-05-21 15:00:00,0.75,2018-05-15 19:00:00,0.75,0.4592181368163829,0.0022868762955547237,0.3948244716235407,0.5220140467874025,0.0019157485361700442,0.3948244716235407,0.8700224083316433,0.0006760317470436825,0.3948244716235407
