model_date,model_clump,mse,mse_stdv,mse_conf,mae,mae_stdv,mae_conf,r2,r2_stdv,r2_conf
2018-05-14 10:00:00,0.0,0.003093031249231081,0.00013127090861256137,0.9999999746367332,0.027236601707113606,0.00020538466934020465,0.9999999746367332,0.9986294115965952,5.8168951604834526e-05,0.9999999746367332
2018-05-14 10:00:00,0.5,0.005754802814302136,0.00020572987586920072,0.9999999813250579,0.03638754090987215,0.00040259672553669205,0.9999999813250579,0.9974339772035595,9.173338660312794e-05,0.9999999813250579
2018-05-14 10:00:00,0.75,0.007373373036726279,0.0004741989045450708,0.9999999802216413,0.04378839155715227,0.0009232943950406579,0.9999999802216413,0.9964970291889429,0.00022528426447201476,0.9999999802216413
2018-05-14 10:00:00,0.85,0.015016889739346784,0.0003733719713760476,0.9999999999987804,0.0721688832763038,0.0007111904981580069,0.9999999999987804,0.9925095528908946,0.00018623849892742978,0.9999999999987804
2018-05-14 10:00:00,0.9,0.03260834894471516,0.0009752903403924061,0.8668712037006985,0.09692889589928806,0.0011960831162922375,0.8668712037006985,0.9819806181493943,0.0005408328036455945,0.8668712037006985
2018-05-15 19:00:00,0.0,0.002407993591403756,0.00010516128843689692,0.9999999789801722,0.027902477805941673,0.0002275352245954581,0.9999999789801722,0.9990531097874028,4.135235040513325e-05,0.9999999789801722
2018-05-15 19:00:00,0.5,0.0035732985783803453,0.00012730370266673542,0.9999999999970511,0.03348243392672969,0.0002745305791441051,0.9999999999970511,0.9986127118596647,4.9424058207424225e-05,0.9999999999970511
2018-05-15 19:00:00,0.75,0.010193332992223735,0.00015727425765315204,0.9999999999082798,0.05758805241453045,0.000446155845340368,0.9999999999082798,0.9961007343862143,6.0162275211499156e-05,0.9999999999082798
2018-05-15 19:00:00,0.85,0.01302773408640548,0.00046308566599711386,0.9999998948817879,0.0707065691026165,0.0011090724914274654,0.9999998948817879,0.9951473658643035,0.00017249241469507838,0.9999998948817879
2018-05-15 19:00:00,0.9,0.013409785433917224,0.00027805319213534393,1.0,0.07585630448160294,0.0007747629856096516,1.0,0.9946795061339243,0.00011032095259756686,1.0
2018-05-17 00:00:00,0.0,0.0026646843982868307,0.00018895996717859523,0.9999998693075063,0.02564807487892106,0.0003840996385375976,0.9999998693075063,0.9985677965436789,0.00010156141503042256,0.9999998693075063
2018-05-17 00:00:00,0.5,0.008752656019809131,0.00043405819737843393,0.9919173471572983,0.04627843204367364,0.0004684124711177383,0.9919173471572983,0.9951604077242766,0.0002399291523031858,0.9919173471572983
2018-05-17 00:00:00,0.75,0.013002192018943365,0.0005101412515168478,0.9999999474761243,0.06305682218552595,0.0005484634514256011,0.9999999474761243,0.9928264629240113,0.00028145386381125904,0.9999999474761243
2018-05-17 00:00:00,0.85,0.024782803008385902,0.001195377416111611,0.9999999999994119,0.09272078350057353,0.000802727759450757,0.9999999999994119,0.9863370654738143,0.0006590200214595221,0.9999999999994119
2018-05-17 00:00:00,0.9,0.031949872827243715,0.0007133262087807088,0.9807599967836295,0.1159706538696242,0.0007589773444147754,0.9807599967836295,0.9823681538060762,0.00039398531895871937,0.9807599967836295
2018-05-19 04:00:00,0.0,0.0011549262041227989,6.372381829953002e-05,0.9999999725748626,0.017146002961484372,0.00022919560626469314,0.9999999725748626,0.9990105658145779,5.459268655097165e-05,0.9999999725748626
2018-05-19 04:00:00,0.5,0.003007647666929821,0.00015977743350240913,0.9952701163560179,0.03015674653285606,0.0004451141946812116,0.9952701163560179,0.9974637205383008,0.00013489232423782426,0.9952701163560179
2018-05-19 04:00:00,0.75,0.00323163648145688,0.0001649328805717674,0.9999999999997775,0.03587497171784547,0.00044301948275787914,0.9999999999997775,0.9973147357206724,0.00013704770794215846,0.9999999999997775
2018-05-19 04:00:00,0.85,0.0031793875691173068,0.00011209133446317847,0.7644171422812395,0.0336731922041809,0.0003207677183694828,0.7644171422812395,0.9974780294198237,8.94248490493921e-05,0.7644171422812395
2018-05-19 04:00:00,0.9,0.00597281547927846,0.0018843205451915803,0.7650075505075185,0.042405545454140894,0.001129161816703677,0.7650075505075185,0.9953313773948975,0.001463841086156893,0.7650075505075185
2018-05-21 15:00:00,0.0,0.002005787450758888,7.307867764880104e-05,0.999999973272678,0.025793278050511025,0.00035333005763869,0.999999973272678,0.999340188683191,2.4039505537774147e-05,0.999999973272678
2018-05-21 15:00:00,0.5,0.005533650199281394,0.00014748081589176487,0.999999975910862,0.0427427135547501,0.0003018390057815062,0.999999975910862,0.9981726585836406,4.870163333281019e-05,0.999999975910862
2018-05-21 15:00:00,0.75,0.01561176523673207,0.0006204108408483916,0.9778591586115476,0.07469215014885507,0.0005651797912787143,0.9778591586115476,0.9948864194809399,0.00020367198797195787,0.9778591586115476
2018-05-21 15:00:00,0.85,0.04081363944996548,0.000681256551779097,0.9999999999927845,0.13572004546261665,0.0010090783487368435,0.9999999999927845,0.986911097569504,0.00021847844633665067,0.9999999999927845
2018-05-21 15:00:00,0.9,0.040609524903224975,0.0003306121090688419,0.9999999999989626,0.13612690021694002,0.0008072809740183542,0.9999999999989626,0.987127252194956,0.000104800199250791,0.9999999999989626
2018-05-23 13:00:00,0.0,0.0023876890129993405,0.00010245428565859054,0.9999999827893485,0.025891880439866215,0.00023422376890048274,0.9999999827893485,0.9985582608172583,6.186415285641779e-05,0.9999999827893485
2018-05-23 13:00:00,0.5,0.00631532149929597,0.00044207433106119455,1.0,0.03732066399306519,0.0004202568020772313,1.0,0.9962110068018669,0.0002652306194778518,1.0
