model_date,model_clump,perturbation,mse,mse_stdv,mse_conf,mae,mae_stdv,mae_conf,r2,r2_stdv,r2_conf
2018-05-14 10:00:00,0.75,anthropogenic/mul_1.5,0.008193959864645073,0.00019257855039299013,0.23749747855836637,0.0676334890756922,0.00047660836742153217,0.23749747855836637,-56819.887076352876,3194.9658881918754,0.23749747855836637
2018-05-14 10:00:00,0.75,anthropogenic/div_1.5,0.006710076035161397,0.00022305951035356356,0.39433981628529696,0.06043203412552126,0.0002971024862043973,0.39433981628529696,-4674.763511669373,208.26754475144014,0.39433981628529696
2018-05-14 10:00:00,0.75,biogenic/mul_1.5,0.015895300523871215,0.010110259044893084,0.01077597230834428,0.06185118485593503,0.00687255778410804,0.01077597230834428,-44438212814.94811,114699965574.46562,0.01077597230834428
2018-05-14 10:00:00,0.75,biogenic/div_1.5,0.012237340083473786,0.0041527501959608805,0.060991619705480477,0.06143791443700196,0.0020219960320096183,0.060991619705480477,-931517.0677637685,310994.4727307846,0.060991619705480477
2018-05-14 10:00:00,0.75,aerosols/mul_1.5,0.01527919932891624,0.00024033009679829876,0.6914630941254789,0.09398511765059188,0.00039299851863520963,0.6914630941254789,-2.872437493043494,0.06117598803838079,0.6914630941254789
2018-05-14 10:00:00,0.75,aerosols/div_1.5,0.014535235770667707,0.0007713037321600057,0.8006878966141701,0.08925620697962737,0.0004889692734825928,0.8006878966141701,-3.4779739637695903,0.23861094527434804,0.8006878966141701
2018-05-14 10:00:00,0.75,monoterpenes/mul_1.5,0.010674852085179617,0.00021184876361638995,0.4472268836528561,0.07180899470613136,0.00048116098344584224,0.4472268836528561,-56.38290196313848,1.6348121191685543,0.4472268836528561
2018-05-14 10:00:00,0.75,monoterpenes/div_1.5,0.010124263648656161,0.00037539283371432663,0.6050637529344995,0.0709718395204143,0.000409709318963471,0.6050637529344995,-28.541082456408702,1.033198468868299,0.6050637529344995
2018-05-14 10:00:00,0.75,sesquiterpenes/mul_1.5,0.01052603786918064,0.002874336782635282,0.06544608217585456,0.06410304291231625,0.0017897794704178004,0.06544608217585456,-1833972.6961032953,510512.5437257814,0.06544608217585456
2018-05-14 10:00:00,0.75,sesquiterpenes/div_1.5,0.010070328541026217,0.00400064081010814,0.11980110224034303,0.06006929948605301,0.0019054114813979298,0.11980110224034303,-169679.45717638946,65495.61644078192,0.11980110224034303
2018-05-14 10:00:00,0.75,so2/mul_1.5,0.029412590809366777,0.0007963485364166054,0.6217536170112159,0.12063504708802106,0.00043953440562745084,0.6217536170112159,-1.4666155751590957,0.06857185270320042,0.6217536170112159
2018-05-14 10:00:00,0.75,so2/div_1.5,0.02755147267760542,0.0002576652722327352,0.7242129863113047,0.11414105064148514,0.00030111399083791165,0.7242129863113047,-1.3086932279678094,0.022928973794045793,0.7242129863113047
2018-05-14 10:00:00,0.75,nox/mul_1.5,0.007145287478006942,0.0007013182444864112,0.29557618721084716,0.060591170852675735,0.0005882815732774017,0.29557618721084716,-46.59201809870046,4.609557419281043,0.29557618721084716
2018-05-14 10:00:00,0.75,nox/div_1.5,0.006740900140862385,0.00023940815605157014,0.4362101599329401,0.06041722805247692,0.00035776644251836644,0.4362101599329401,-22.819264345089962,0.8865720967518959,0.4362101599329401
2018-05-14 10:00:00,0.75,temperature/add_2K,0.08214112682845531,0.0003945016573420844,0.9999999981897469,0.21056064410345027,0.0004198228868869677,0.9999999981897469,-57.19729914430526,0.2795059168497796,0.9999999981897469
2018-05-14 10:00:00,0.75,temperature/sub_2K,0.07458112096649451,0.00018775812322692763,0.9999999981896338,0.20338734240295392,0.0003287672085606643,0.9999999981896338,-40.58121424379928,0.10468079115383469,0.9999999981896338
2018-05-14 10:00:00,0.75,anthropogenic/mul_1.01,0.007798854860074816,5.551114458301885e-05,0.9999999978070795,0.06328258871205114,0.0001817034592628503,0.9999999978070795,-72.11292713940857,0.5204074626520891,0.9999999978070795
2018-05-14 10:00:00,0.75,anthropogenic/div_1.01,0.007516082328506588,4.2630168330963734e-05,0.999999997822861,0.06232303986753253,0.00021278912365518831,0.999999997822861,-74.39040664244928,0.42760384802038415,0.999999997822861
2018-05-14 10:00:00,0.75,biogenic/mul_1.01,0.007730601641931882,0.0003279137230791792,0.9712498270311056,0.06232042830377984,0.00030605191708746673,0.9712498270311056,-86.56460962750921,4.0554556215649615,0.9712498270311056
2018-05-14 10:00:00,0.75,biogenic/div_1.01,0.00774624119023445,0.0002442240260774454,0.9721433926771029,0.06242569762497028,0.00019647835920091138,0.9721433926771029,-73.01812710184451,2.301196760203845,0.9721433926771029
2018-05-14 10:00:00,0.75,aerosols/mul_1.01,0.007826808656523703,7.257084549855317e-05,0.9999999981944552,0.06291466071698373,0.0001579291114754003,0.9999999981944552,-76.95036474402306,0.7227625108324657,0.9999999981944552
2018-05-14 10:00:00,0.75,aerosols/div_1.01,0.007922520301989177,7.974985538647297e-05,0.9999999981937491,0.06389673258991828,0.00027886338158257165,0.9999999981937491,-60.51086785988009,0.6191821074021376,0.9999999981937491
2018-05-14 10:00:00,0.75,monoterpenes/mul_1.01,0.007885144657789653,5.029243340966915e-05,0.9999999972073721,0.0632860065347812,0.00016162413356516267,0.9999999972073721,-61.47868655475539,0.39849683416707865,0.9999999972073721
2018-05-14 10:00:00,0.75,monoterpenes/div_1.01,0.007701088978225769,5.25028545074341e-05,0.9999999973749948,0.06325717830869579,0.00028231640002085624,0.9999999973749948,-75.98614541482463,0.5248598481631761,0.9999999973749948
