model_date,model_clump,data_hour_offset,data_clump,mse,mse_stdv,mse_conf,mae,mae_stdv,mae_conf,r2,r2_stdv,r2_conf
2018-05-14 10:00:00,0.75,-4,0.75,0.14116290220649397,0.001249182203430966,0.5286014870157203,0.24622097613928653,0.0008817793778952013,0.5286014870157203,0.9184619184292258,0.0008169529943996989,0.5286014870157203
2018-05-14 10:00:00,0.75,-2,0.75,0.044929075933724576,0.0003294907487568543,0.8519232970775571,0.14364689203887238,0.0005512719224113448,0.8519232970775571,0.9731287697006887,0.00019813675501132298,0.8519232970775571
2018-05-14 10:00:00,0.75,-1,0.75,0.08069683607253335,0.0005672228296971337,0.9779497784151434,0.19285789886593635,0.0005711972508100568,0.9779497784151434,0.9718369828433715,0.00018653750404805803,0.9779497784151434
2018-05-14 10:00:00,0.75,0,0.75,0.018054922285048937,0.00020184358805798477,0.9999999989829768,0.08745948140474044,0.0004023727475769796,0.9999999989829768,0.9914223971247068,9.58926388023726e-05,0.9999999989829768
2018-05-14 10:00:00,0.75,1,0.75,0.06961688898606352,0.00044718223912744,0.99960528622193,0.15970523162315237,0.0005108721805357296,0.99960528622193,0.9750085642602693,0.0001636274067393243,0.99960528622193
2018-05-14 10:00:00,0.75,2,0.75,0.11171430894371612,0.0007440720708579686,0.9427337590317038,0.20454051913509383,0.0005571673359743266,0.9427337590317038,0.958948147970289,0.00026761700265897655,0.9427337590317038
2018-05-14 10:00:00,0.75,4,0.75,0.1393297709630033,0.0009041752125889933,0.9123540417703111,0.22228268537529133,0.0005463242938042767,0.9123540417703111,0.940490943074406,0.00039044780161010743,0.9123540417703111
2018-05-15 19:00:00,0.75,-4,0.75,0.3337848595082291,0.0007901584615722829,0.8508259279520671,0.45566042269656276,0.0006294788040967231,0.8508259279520671,0.8779211946138723,0.0003013189010470964,0.8508259279520671
2018-05-15 19:00:00,0.75,-2,0.75,0.08194049816382057,0.00035768933069071034,0.9904321377964278,0.18055190936371662,0.0003956756923098557,0.9904321377964278,0.9681740814339781,0.0001378298745340492,0.9904321377964278
2018-05-15 19:00:00,0.75,-1,0.75,0.02072574485849362,0.0002052882846196898,1.0,0.10378997269178307,0.0004651291227847353,1.0,0.9913012625713291,8.616090264938845e-05,1.0
2018-05-15 19:00:00,0.75,0,0.75,0.01894559817160982,9.618361283677443e-05,1.0,0.09814971468570739,0.00022513560571583177,1.0,0.9927527218487299,3.679321125193466e-05,1.0
2018-05-15 19:00:00,0.75,1,0.75,0.03314096063050827,0.00013772743077207974,0.9999999999947047,0.11822077653054353,0.0003801213820443679,0.9999999999947047,0.9877551778782852,5.088711549093039e-05,0.9999999999947047
2018-05-15 19:00:00,0.75,2,0.75,0.05226610234351471,0.00026342882131321873,0.990857142856209,0.1744445263823718,0.0005193908013158238,0.990857142856209,0.9820467340814254,9.048709330894627e-05,0.990857142856209
2018-05-15 19:00:00,0.75,4,0.75,0.04538823599293462,0.0002798480264668806,0.9694862016630491,0.1354863437273084,0.0006878329797029876,0.9694862016630491,0.9821216801647941,0.00011017255915359573,0.9694862016630491
2018-05-17 00:00:00,0.75,-4,0.75,0.272897177334005,0.0014072236360654676,0.7909519773924085,0.3617277721843237,0.0007498392730415132,0.7909519773924085,0.8817452995965251,0.000559638168238687,0.7909519773924085
2018-05-17 00:00:00,0.75,-2,0.75,0.11255473477152464,0.0005918911414586744,0.9142924534663505,0.24226923840577946,0.00035707697004951094,0.9142924534663505,0.9420109922531517,0.00029519674157954014,0.9142924534663505
2018-05-17 00:00:00,0.75,-1,0.75,0.07955059833481821,0.0007220812603573964,0.9091016202683784,0.19890778023915884,0.0006577557241861176,0.9091016202683784,0.959420122762871,0.00037169090617322054,0.9091016202683784
2018-05-17 00:00:00,0.75,0,0.75,0.02170219213994305,0.00029155082521194317,0.9952428974215136,0.09713768036454344,0.0004462724163908156,0.9952428974215136,0.9880549561332531,0.0001604068662544571,0.9952428974215136
2018-05-17 00:00:00,0.75,1,0.75,0.04466382155196324,0.0002832567695647306,0.9544686658323457,0.12583600178854734,0.0002719349354987823,0.9544686658323457,0.9773168634033891,0.00014311648325780014,0.9544686658323457
2018-05-17 00:00:00,0.75,2,0.75,0.05654776640814069,0.0005742680492296148,0.6988398121107225,0.16716061059213005,0.0007190910241821904,0.6988398121107225,0.9758586461883647,0.00024159741922562326,0.6988398121107225
2018-05-17 00:00:00,0.75,4,0.75,0.1568602698891321,0.0024058723643697257,0.313170158965333,0.2977404192992389,0.002145870259142639,0.313170158965333,0.9330786322510474,0.0010007469042779917,0.313170158965333
2018-05-19 04:00:00,0.75,-4,0.75,0.014702523193335112,6.820177855121284e-05,0.9909642704495538,0.08532339455887136,0.00021523927258963464,0.9909642704495538,0.9883938752057089,5.3964003311377973e-05,0.9909642704495538
2018-05-19 04:00:00,0.75,-2,0.75,0.014285405492454748,9.67348071766766e-05,0.997746312971574,0.08228417169087146,0.000231336530502688,0.997746312971574,0.9866404636936281,9.046520725290532e-05,0.997746312971574
2018-05-19 04:00:00,0.75,-1,0.75,0.01829355643549159,0.0001337396876902276,0.9853711682009654,0.07847542242392194,0.00030868256177717904,0.9853711682009654,0.9848275265473628,0.00011102136830702673,0.9853711682009654
2018-05-19 04:00:00,0.75,0,0.75,0.007742371393374313,8.386115356848642e-05,0.9942159299513142,0.06320879141751448,0.00023120698289095872,0.9942159299513142,0.9935907809059963,6.975706306705927e-05,0.9942159299513142
