model_date,model_clump,perturbation,mse,mse_stdv,mse_conf,mae,mae_stdv,mae_conf,r2,r2_stdv,r2_conf
2018-05-14 10:00:00,0.75,anthropogenic/mul_1.5,0.00822275033274288,0.0006423581729557869,0.7168918697488107,0.05028012300664083,0.0006830569911458905,0.7168918697488107,-206.9182866575449,15.839497917054393,0.7168918697488107
2018-05-14 10:00:00,0.75,anthropogenic/div_1.5,0.011907079222784948,0.0007105707277654002,0.8330149404995615,0.05469884411865069,0.0003925218969968632,0.8330149404995615,-155.142979270171,9.645893879413263,0.8330149404995615
2018-05-14 10:00:00,0.75,biogenic/mul_1.5,0.006413977909208909,0.0005275136609822477,0.6384276286125568,0.039217943101426365,0.0004935062782632812,0.6384276286125568,-46.47376399621764,3.6651516455889777,0.6384276286125568
2018-05-14 10:00:00,0.75,biogenic/div_1.5,0.003997669656380326,0.00039798067969105434,0.740581093004136,0.03059905117434286,0.00040120909985452577,0.740581093004136,-25.693459834314684,2.6208684437394654,0.740581093004136
2018-05-14 10:00:00,0.75,aerosols/mul_1.5,0.007319129116219268,0.00016215904553095614,0.9999999337961779,0.05893589519617788,0.0004448543927637343,0.9999999337961779,-0.8441083565293279,0.04085716294958955,0.9999999337961779
2018-05-14 10:00:00,0.75,aerosols/div_1.5,0.006939236801055369,0.00015086048402356423,0.9999999542099818,0.05657184657546127,0.00022983277844823753,0.9999999542099818,-1.2592177870087553,0.04911211677225441,0.9999999542099818
2018-05-14 10:00:00,0.75,monoterpenes/mul_1.5,0.0071417704339935915,0.00015732642537970775,0.8675428761397316,0.05169403909741741,0.0002280331636595486,0.8675428761397316,-0.45259266496558065,0.03132481352686123,0.8675428761397316
2018-05-14 10:00:00,0.75,monoterpenes/div_1.5,0.004559031210749331,0.0001610729151844861,0.9066113267271051,0.037210326276034246,0.0002123292881858805,0.9066113267271051,-1.0164403614402806,0.06501507254238438,0.9066113267271051
2018-05-14 10:00:00,0.75,sesquiterpenes/mul_1.5,0.004318971046198071,0.00081380690925231,0.5869695344012159,0.021280644974079693,0.0005096703297296884,0.5869695344012159,-74.33200573411497,14.855007726821464,0.5869695344012159
2018-05-14 10:00:00,0.75,sesquiterpenes/div_1.5,0.0027876504989030387,0.0003515523322815844,0.7042631170324798,0.019978398044223335,0.0002748088233690663,0.7042631170324798,-48.53635076500935,6.410412499650183,0.7042631170324798
2018-05-14 10:00:00,0.75,so2/mul_1.5,0.029659952988271475,0.00022361654298384953,0.9999998256799237,0.12255834765574333,0.00033683981658052425,0.9999998256799237,-1.1720023624117684,0.016375469638381893,0.9999998256799237
2018-05-14 10:00:00,0.75,so2/div_1.5,0.024730968896756973,0.0001417403755007696,0.9999999456916802,0.10381467261420499,0.00023927375545567672,0.9999999456916802,-0.7618255225382288,0.01009753447889201,0.9999999456916802
2018-05-14 10:00:00,0.75,nox/mul_1.5,0.005750191471414065,0.0003768917697880664,0.7342522068068866,0.04111605023216221,0.0005015300997923536,0.7342522068068866,-2.1061291425186526,0.20250993478211665,0.7342522068068866
2018-05-14 10:00:00,0.75,nox/div_1.5,0.008222126313709619,0.0012292497271667725,0.8490945393830532,0.036342247325135066,0.0006926676600684273,0.8490945393830532,-6.776949365874796,1.1668822295158978,0.8490945393830532
2018-05-14 10:00:00,0.75,temperature/add_2K,0.10457702664307936,0.0012364017524586748,0.999999960494366,0.1886155462521562,0.0009435036756955445,0.999999960494366,-73.09321905066591,0.8759953196241531,0.999999960494366
2018-05-14 10:00:00,0.75,temperature/sub_2K,0.10215965748620118,0.0009045530600004211,0.9999999604943677,0.157544831631224,0.0005292321432569496,0.9999999604943677,-55.95707640161722,0.5043154902385965,0.9999999604943677
2018-05-14 10:00:00,0.75,anthropogenic/mul_1.01,0.0020712099737036785,5.574000801677445e-05,0.9999999603784733,0.021114810926385598,0.00015377944103995897,0.9999999603784733,-18.41723837855352,0.5225530181031455,0.9999999603784733
2018-05-14 10:00:00,0.75,anthropogenic/div_1.01,0.0021449058176820366,9.250483328493923e-05,0.9999999603813868,0.02108329017649614,0.00017986115804906441,0.9999999603813868,-20.514575644215185,0.9278739498758594,0.9999999603813868
2018-05-14 10:00:00,0.75,biogenic/mul_1.01,0.002044740035196029,0.00010640662696213658,0.9999999590995622,0.02065397902985237,0.0002821940683804916,0.9999999590995622,-20.257992773614937,1.1062488473303564,0.9999999590995622
2018-05-14 10:00:00,0.75,biogenic/div_1.01,0.0020568896677619756,0.00011738527596242399,0.9999999591359943,0.021015535208704993,0.00023741131337909184,0.9999999591359943,-17.384532153551667,1.0491925814537428,0.9999999591359943
2018-05-14 10:00:00,0.75,aerosols/mul_1.01,0.0020789181556650706,0.00010105463862505008,0.9999999604965778,0.020704117148832992,0.00018472744566165649,0.9999999604965778,-19.70478985991206,1.0064441697232949,0.9999999604965778
2018-05-14 10:00:00,0.75,aerosols/div_1.01,0.002016407364271822,0.0001030582507474746,0.9999999604965885,0.02141327318771625,0.00024860991485642174,0.9999999604965885,-14.655493732754659,0.8001497253350881,0.9999999604965885
2018-05-14 10:00:00,0.75,monoterpenes/mul_1.01,0.0020556351976160486,9.331988544217269e-05,0.9999999603884432,0.02102980572393283,0.00018290763586164177,0.9999999603884432,-15.288019149515245,0.7394289039589523,0.9999999603884432
2018-05-14 10:00:00,0.75,monoterpenes/div_1.01,0.002015915649750184,6.411020504691801e-05,0.9999999603922275,0.020532769651566692,0.00019104219819462197,0.9999999603922275,-19.15267915933675,0.6408960579823536,0.9999999603922275
